,x_movement/pixel,y_movement/pixel,time/seconds
138,987.0,458.0,4.603241710914444
139,987.0,458.0,4.636598534906578
140,987.0,458.0,4.6699553588987115
141,987.0,458.0,4.703312182890845
142,987.0,458.0,4.736669006882979
143,987.0,458.0,4.770025830875112
144,987.0,457.0,4.803382654867246
145,987.0,457.0,4.836739478859379
146,987.0,457.0,4.870096302851513
147,987.0,457.0,4.9034531268436465
148,987.0,457.0,4.93680995083578
149,987.0,457.0,4.970166774827914
150,987.0,456.0,5.003523598820047
151,987.0,456.0,5.036880422812181
152,987.0,456.0,5.070237246804314
153,987.0,456.0,5.103594070796448
154,987.0,456.0,5.136950894788582
155,987.0,456.0,5.170307718780715
156,987.0,455.0,5.203664542772849
157,987.0,455.0,5.237021366764982
158,987.0,455.0,5.270378190757116
159,987.0,455.0,5.3037350147492495
160,987.0,455.0,5.337091838741383
161,987.0,454.0,5.370448662733517
162,987.0,454.0,5.40380548672565
163,987.0,454.0,5.437162310717784
164,987.0,454.0,5.470519134709917
165,987.0,454.0,5.503875958702051
166,987.0,454.0,5.5372327826941845
167,987.0,453.0,5.570589606686318
168,987.0,453.0,5.603946430678452
169,987.0,453.0,5.637303254670585
170,987.0,453.0,5.670660078662719
171,987.0,453.0,5.704016902654852
172,987.0,453.0,5.737373726646986
173,987.0,452.0,5.7707305506391195
174,987.0,452.0,5.804087374631253
175,987.0,452.0,5.837444198623387
176,987.0,452.0,5.87080102261552
177,987.0,452.0,5.904157846607654
178,987.0,452.0,5.937514670599787
179,987.0,451.0,5.970871494591921
180,987.0,451.0,6.004228318584055
181,987.0,451.0,6.037585142576188
182,987.0,451.0,6.070941966568322
183,987.0,451.0,6.104298790560455
184,987.0,450.0,6.137655614552589
185,987.0,450.0,6.1710124385447225
186,987.0,450.0,6.204369262536856
187,987.0,450.0,6.23772608652899
188,987.0,450.0,6.271082910521123
189,987.0,450.0,6.304439734513257
190,987.0,449.0,6.33779655850539
191,987.0,449.0,6.371153382497524
192,987.0,449.0,6.4045102064896575
193,987.0,449.0,6.437867030481791
194,987.0,449.0,6.471223854473925
195,987.0,448.0,6.504580678466058
196,987.0,448.0,6.537937502458192
197,987.0,448.0,6.571294326450325
198,987.0,448.0,6.604651150442459
199,987.0,448.0,6.638007974434593
200,987.0,448.0,6.671364798426726
201,987.0,447.0,6.70472162241886
202,987.0,447.0,6.738078446410993
203,987.0,447.0,6.771435270403127
204,987.0,447.0,6.8047920943952604
205,987.0,447.0,6.838148918387394
206,987.0,447.0,6.871505742379528
207,987.0,446.0,6.904862566371661
208,987.0,446.0,6.938219390363795
209,987.0,446.0,6.971576214355928
210,987.0,446.0,7.004933038348062
211,987.0,446.0,7.0382898623401955
212,987.0,445.0,7.071646686332329
213,987.0,445.0,7.105003510324463
214,987.0,445.0,7.138360334316596
215,987.0,445.0,7.17171715830873
216,987.0,445.0,7.205073982300863
217,987.0,445.0,7.238430806292997
218,987.0,444.0,7.2717876302851305
219,987.0,444.0,7.305144454277264
220,987.0,444.0,7.338501278269398
221,987.0,444.0,7.371858102261531
222,987.0,444.0,7.405214926253665
223,987.0,444.0,7.438571750245798
224,987.0,444.0,7.471928574237932
225,987.0,444.0,7.505285398230066
226,987.0,444.0,7.538642222222199
